PPID,PP,EAL,SEN,HML,Re,Wr,Ma,Att8Est,Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccAct,EbaccDiff
444,0,1,0,2,3.25,2.5,2.75,4.8,4.6,-0.22,5,6,0.45,4.6,4,-0.6,4.4,3.3,-1.04
401,0,0,0,1,1.75,1.25,1.5,2.5,3.2,0.69,2.9,3,0.09,2.1,3,0.91,1.8,1.8,0.08
645,1,0,0,3,3.25,2.75,3.5,5.9,3.9,-1.96,6,6,-0.48,5.9,4,-1.9,5.7,3,-2.66
947,1,0,0,3,3.5,2.75,3.5,6.5,3.2,-3.31,6.5,4,-2.53,6.7,3,-3.67,6.4,2,-4.4
1034,0,0,0,3,3.25,2.5,3.5,5.6,7.3,1.73,5.7,7,1.26,5.5,8,2.96,5.3,7,1.68
922,1,0,0,3,3.5,3.25,3.25,5.6,4.5,-1.12,5.7,6,-0.24,5.5,4,-1.54,5.3,3,-2.32
643,0,0,1,2,2.75,2.25,2.75,4.5,2.5,-2.02,4.8,4,-0.81,4.3,4,-0.35,4.1,1.8,-2.24
949,0,0,0,3,2.5,2.75,3.5,5.6,3.7,-1.92,5.7,6,-0.24,5.5,4,-1.54,5.3,1.5,-3.82
339,1,0,1,2,2.5,2.5,3.25,4.5,3.2,-1.37,4.8,4,-0.81,4.3,3,-1.35,4.1,0.7,-3.41
133,0,0,0,2,2.25,1.75,2.75,3.9,3.8,-0.06,4.2,4,-0.19,3.7,4,0.32,3.3,2.3,-0.98
553,0,0,0,3,3.25,2.75,3.5,5.9,4.8,-1.06,6,6,-0.48,5.9,4,-1.9,5.7,4.2,-1.49
638,1,0,0,2,2.75,3.25,2.5,4.8,4.5,-0.32,5,4,-1.05,4.6,4,-0.6,4.4,5.2,0.79
956,0,0,1,2,1.75,2.25,2.5,3.5,3,-0.49,3.9,3,-0.86,3.3,3,-0.28,2.9,1.7,-1.2
688,0,0,0,2,2.25,2.5,1.75,3.2,3.7,0.53,3.6,4,0.43,2.9,4,1.08,2.5,1.5,-1
942,0,0,0,2,2.25,2.25,2.25,3.3,3.1,-0.27,3.7,4,0.3,3.1,3,-0.1,2.7,1.8,-0.83
834,0,0,0,2,2.75,2.25,1.5,3.2,2.7,-0.52,3.6,3,-0.57,2.9,3,0.08,2.5,1.2,-1.34
263,1,0,1,2,2.25,1.25,2.75,3.3,2.7,-0.62,3.7,3,-0.7,3.1,4,0.9,2.7,1.3,-1.33
369,0,0,0,2,2.75,2.5,2.25,4,3.8,-0.25,4.4,6,1.13,3.9,3,-0.88,3.5,2,-1.52
886,1,0,1,2,1.75,1.5,2.5,3.5,5.2,1.66,3.9,7,3.14,3.3,6,2.22,2.9,3.3,0.47
999,0,0,0,2,2.75,2.25,2.75,4.3,4.3,-0.04,4.6,6,0.91,4.1,4,-0.11,3.8,3.7,-0.14
816,0,0,0,2,1.75,1.75,2.75,3.9,4.2,0.34,4.2,3,-1.19,3.7,7,3.32,3.3,4,0.69
486,0,0,0,3,3.25,2.5,3.5,5.9,3.5,-2.41,6,3,-2.98,5.9,4,-1.9,5.7,2.5,-3.16
517,0,0,0,3,3.5,2.5,3.5,6.2,3.4,-2.77,6.2,4,-2.22,6.3,6,-0.79,6,2.7,-3.34
207,0,0,0,2,3.25,2.5,3.25,5.3,4.3,-1.02,5.5,6,0.03,5.2,4,-1.2,5,2.8,-2.12
251,1,0,0,2,2.5,2.5,2.75,4.5,5.5,0.98,4.8,4,-0.81,4.3,6,1.15,4.1,4.5,0.43
598,0,0,0,2,2.5,1.75,2.5,3.9,3.8,-0.11,4.2,6,1.31,3.7,4,0.32,3.3,1.7,-1.64
704,0,0,0,2,2.5,2.25,2.5,4,4.4,0.35,4.4,6,1.13,3.9,3,-0.88,3.5,4,0.48
964,0,0,0,3,2.75,2.75,3.5,5.6,4.7,-0.87,5.7,6,-0.24,5.5,4,-1.54,5.3,3.3,-1.99
